,example_ids,all_SM_preds,all_SMA_preds,all_SM_probs,all_SMA_probs,all_labels
193,193,5,1,"[0.01720021478831768, 0.1977771520614624, 0.07866818457841873, 0.1782081425189972, 0.22784824669361115, 0.3002980947494507]","[0.03172742575407028, 0.26466459035873413, 0.1311999261379242, 0.2310400903224945, 0.22532427310943604, 0.11604366451501846]",1
194,194,0,0,"[0.24774429202079773, 0.20813791453838348, 0.14421509206295013, 0.1656074970960617, 0.09795387834310532, 0.13634124398231506]","[0.5285998582839966, 0.29444360733032227, 0.06467874348163605, 0.04875490814447403, 0.02493252605199814, 0.03859042376279831]",2
195,195,3,3,"[0.07018298655748367, 0.19526392221450806, 0.1387784332036972, 0.2280462682247162, 0.16836631298065186, 0.19936208426952362]","[0.06330190598964691, 0.19614794850349426, 0.1576782763004303, 0.2293446958065033, 0.2021513730287552, 0.15137583017349243]",3
196,196,5,0,"[0.10452216863632202, 0.17282605171203613, 0.14497968554496765, 0.1768919974565506, 0.15460874140262604, 0.24617138504981995]","[0.35863903164863586, 0.27109041810035706, 0.14354434609413147, 0.109039805829525, 0.053119368851184845, 0.06456706672906876]",3
197,197,5,3,"[0.025820637121796608, 0.10449975728988647, 0.06387189030647278, 0.22429391741752625, 0.23709599673748016, 0.34441784024238586]","[0.08802696317434311, 0.17733056843280792, 0.20442020893096924, 0.2482151836156845, 0.17468026280403137, 0.10732682794332504]",2
198,198,5,4,"[0.020186346024274826, 0.1561470925807953, 0.0908338874578476, 0.20258945226669312, 0.20755799114704132, 0.32268521189689636]","[0.012744045816361904, 0.16074511408805847, 0.10533053427934647, 0.2359374761581421, 0.2786746919155121, 0.20656818151474]",5
199,199,5,5,"[0.020350055769085884, 0.1010141596198082, 0.08365818858146667, 0.2397795021533966, 0.22639425098896027, 0.3288038372993469]","[0.0020915509667247534, 0.05545591190457344, 0.0382985919713974, 0.16672350466251373, 0.3518148362636566, 0.38561561703681946]",4
200,200,5,3,"[0.018639128655195236, 0.1316852569580078, 0.08839080482721329, 0.19535717368125916, 0.21255068480968475, 0.3533768951892853]","[0.02147609181702137, 0.16230089962482452, 0.15591134130954742, 0.26533037424087524, 0.21957308053970337, 0.17540816962718964]",1
201,201,5,5,"[0.01667177863419056, 0.12058477848768234, 0.08888821303844452, 0.25706201791763306, 0.22289115190505981, 0.29390206933021545]","[0.0042387861758470535, 0.09025653451681137, 0.046817123889923096, 0.18232972919940948, 0.32410046458244324, 0.35225731134414673]",1
202,202,5,5,"[0.01817861758172512, 0.14370571076869965, 0.0841086357831955, 0.1891249567270279, 0.22486765682697296, 0.34001439809799194]","[0.044841114431619644, 0.22241343557834625, 0.10360465198755264, 0.17797277867794037, 0.21465197205543518, 0.23651601374149323]",1
203,203,5,3,"[0.0520961619913578, 0.2183370143175125, 0.10144168138504028, 0.1576521396636963, 0.15007023513317108, 0.3204028010368347]","[0.055611126124858856, 0.1866205483675003, 0.22623290121555328, 0.2683584690093994, 0.15644744038581848, 0.10672951489686966]",0
204,204,5,5,"[0.019219929352402687, 0.13180722296237946, 0.0871167927980423, 0.19781583547592163, 0.24549001455307007, 0.3185502290725708]","[0.007525878492742777, 0.097577765583992, 0.04075778275728226, 0.11835306137800217, 0.31866350769996643, 0.4171220362186432]",4
205,205,4,4,"[0.0038254025857895613, 0.07470274716615677, 0.03803693875670433, 0.23833051323890686, 0.3281504213809967, 0.3169539272785187]","[0.008731819689273834, 0.16447323560714722, 0.0844530239701271, 0.2628803849220276, 0.2812855541706085, 0.19817602634429932]",1
206,206,5,4,"[0.06987077742815018, 0.20204754173755646, 0.11281390488147736, 0.19938582181930542, 0.16129256784915924, 0.25458940863609314]","[0.0214974544942379, 0.18321126699447632, 0.11324644833803177, 0.23822997510433197, 0.2614504098892212, 0.18236449360847473]",0
207,207,5,3,"[0.060598187148571014, 0.13416986167430878, 0.09070532768964767, 0.2210918366909027, 0.19290871918201447, 0.30052605271339417]","[0.05071850121021271, 0.16460572183132172, 0.15861377120018005, 0.3008362352848053, 0.2134300321340561, 0.11179575324058533]",4
208,208,0,0,"[0.6161641478538513, 0.19671185314655304, 0.056296952068805695, 0.07735452055931091, 0.033099688589572906, 0.02037283219397068]","[0.636599600315094, 0.2193557471036911, 0.06637014448642731, 0.05178216099739075, 0.020997902378439903, 0.004894430749118328]",0
209,209,5,1,"[0.03296384960412979, 0.20472979545593262, 0.11657768487930298, 0.18044689297676086, 0.1527433544397354, 0.3125384449958801]","[0.1109115332365036, 0.2543985843658447, 0.2360147088766098, 0.22032023966312408, 0.11465231329202652, 0.06370264291763306]",1
210,210,5,3,"[0.03466878458857536, 0.1866556704044342, 0.10994736105203629, 0.18818369507789612, 0.17857128381729126, 0.30197322368621826]","[0.05146907642483711, 0.21529588103294373, 0.23307350277900696, 0.23582270741462708, 0.16072291135787964, 0.10361600667238235]",2
211,211,5,1,"[0.02701715938746929, 0.17874132096767426, 0.11043892055749893, 0.2021811604499817, 0.21701285243034363, 0.26460856199264526]","[0.12918831408023834, 0.2916858196258545, 0.24467143416404724, 0.21695096790790558, 0.0957343801856041, 0.021769093349575996]",2
212,212,5,2,"[0.057883474975824356, 0.1616417020559311, 0.12355779111385345, 0.17461636662483215, 0.19531874358654022, 0.286981999874115]","[0.0947183221578598, 0.17368589341640472, 0.22358453273773193, 0.21357105672359467, 0.17522557079792023, 0.11921463906764984]",1
213,213,5,1,"[0.026995014399290085, 0.22112572193145752, 0.12507902085781097, 0.17832732200622559, 0.1026715412735939, 0.34580138325691223]","[0.1602233648300171, 0.3374391198158264, 0.23401151597499847, 0.16892103850841522, 0.060254912823438644, 0.039150066673755646]",0
214,214,5,1,"[0.04356636106967926, 0.21280567348003387, 0.1331767737865448, 0.18985480070114136, 0.16021327674388885, 0.26038309931755066]","[0.1561572402715683, 0.28149381279945374, 0.16525402665138245, 0.15530335903167725, 0.09929699450731277, 0.14249461889266968]",5
215,215,5,4,"[0.014556197449564934, 0.08659062534570694, 0.09297914057970047, 0.24029505252838135, 0.2607195973396301, 0.3048594295978546]","[0.021954039111733437, 0.1737375408411026, 0.11929566413164139, 0.22287143766880035, 0.26878637075424194, 0.19335494935512543]",3
216,216,5,1,"[0.040788233280181885, 0.21615515649318695, 0.12560951709747314, 0.21139110624790192, 0.1693805754184723, 0.2366754710674286]","[0.06564030051231384, 0.37188586592674255, 0.14857660233974457, 0.15832243859767914, 0.10971944779157639, 0.14585530757904053]",2
217,217,3,3,"[0.07087098807096481, 0.11905037611722946, 0.135750874876976, 0.25165706872940063, 0.17754186689853668, 0.24512888491153717]","[0.04565219581127167, 0.16595260798931122, 0.14316344261169434, 0.3034309446811676, 0.19340234994888306, 0.1483985185623169]",2
218,218,1,3,"[0.18565568327903748, 0.34310925006866455, 0.1603529155254364, 0.15816327929496765, 0.11000576615333557, 0.04271308332681656]","[0.10165160894393921, 0.265701025724411, 0.1502666026353836, 0.27112025022506714, 0.1690375804901123, 0.042222894728183746]",3
219,219,1,1,"[0.05441713333129883, 0.2582036256790161, 0.175420343875885, 0.2009233981370926, 0.1164369061589241, 0.19459855556488037]","[0.04779393598437309, 0.288444846868515, 0.13896402716636658, 0.23415012657642365, 0.15572167932987213, 0.13492539525032043]",2
220,220,4,1,"[0.027147026732563972, 0.2171003818511963, 0.08954521268606186, 0.1631809026002884, 0.26967817544937134, 0.2333483248949051]","[0.13465479016304016, 0.26688188314437866, 0.26554980874061584, 0.21702010929584503, 0.10133098065853119, 0.01456238143146038]",2
221,221,3,3,"[0.005424458533525467, 0.06614568084478378, 0.05230985954403877, 0.34293022751808167, 0.23857559263706207, 0.2946142554283142]","[0.00404516002163291, 0.11850827932357788, 0.07725781202316284, 0.3383568227291107, 0.27010515332221985, 0.19172674417495728]",4
222,222,0,1,"[0.3067522943019867, 0.19722233712673187, 0.13631579279899597, 0.1359330117702484, 0.09994565695524216, 0.1238308995962143]","[0.2136644572019577, 0.2186128944158554, 0.15498566627502441, 0.20602092146873474, 0.13440433144569397, 0.07231175154447556]",1
223,223,5,2,"[0.0186847485601902, 0.10119790583848953, 0.07607576996088028, 0.20962509512901306, 0.24448734521865845, 0.3499291241168976]","[0.1692078709602356, 0.23304514586925507, 0.2343652993440628, 0.19949427247047424, 0.09966560453176498, 0.06422177702188492]",5
224,224,5,1,"[0.013307265937328339, 0.1047421246767044, 0.12544478476047516, 0.23191365599632263, 0.23093734681606293, 0.29365479946136475]","[0.036118123680353165, 0.2282513529062271, 0.14167776703834534, 0.195107102394104, 0.19510026276111603, 0.20374536514282227]",4
225,225,4,4,"[0.01321395393460989, 0.08497244864702225, 0.10174243897199631, 0.2621442973613739, 0.29721370339393616, 0.2407131940126419]","[0.010432012379169464, 0.12451666593551636, 0.10671255737543106, 0.2950339913368225, 0.3042672872543335, 0.1590375155210495]",4
226,226,5,4,"[0.021881185472011566, 0.13904887437820435, 0.09753265976905823, 0.2626523971557617, 0.18012771010398865, 0.2987571060657501]","[0.004308777395635843, 0.06585178524255753, 0.06971815973520279, 0.2943814694881439, 0.30727633833885193, 0.25846341252326965]",4
227,227,5,4,"[0.021753815934062004, 0.16558797657489777, 0.09773091226816177, 0.204685777425766, 0.19918423891067505, 0.3110572397708893]","[0.015588976442813873, 0.19478148221969604, 0.11322040110826492, 0.23871614038944244, 0.2455209195613861, 0.1921720653772354]",4
228,228,5,4,"[0.013850132934749126, 0.1105770468711853, 0.06410777568817139, 0.21698153018951416, 0.2772086560726166, 0.317274808883667]","[0.01984216272830963, 0.20068064332008362, 0.08095904439687729, 0.2105107307434082, 0.29596713185310364, 0.1920403391122818]",4
229,229,1,1,"[0.14499585330486298, 0.30528584122657776, 0.13029643893241882, 0.11817233264446259, 0.1126771867275238, 0.18857230246067047]","[0.10762330889701843, 0.28304731845855713, 0.18251490592956543, 0.19708260893821716, 0.14421306550502777, 0.08551876991987228]",1
230,230,1,2,"[0.132616326212883, 0.21529296040534973, 0.17290492355823517, 0.1537327617406845, 0.11134211719036102, 0.2141108363866806]","[0.20004788041114807, 0.22291162610054016, 0.28129687905311584, 0.18396878242492676, 0.07828313857316971, 0.03349168226122856]",2
231,231,5,1,"[0.026564329862594604, 0.19942791759967804, 0.10163559019565582, 0.1914532631635666, 0.1714784950017929, 0.3094404637813568]","[0.14369083940982819, 0.3339143991470337, 0.1989605724811554, 0.18172799050807953, 0.08613806962966919, 0.05556813254952431]",3
232,232,5,3,"[0.018097514286637306, 0.1703319549560547, 0.09905695915222168, 0.18463356792926788, 0.23357440531253815, 0.29430559277534485]","[0.016606004908680916, 0.19230327010154724, 0.2000926434993744, 0.32826894521713257, 0.20416925847530365, 0.05855986848473549]",2
233,233,5,3,"[0.030229119583964348, 0.13043524324893951, 0.09269485622644424, 0.26500898599624634, 0.20891746878623962, 0.2727143168449402]","[0.021665507927536964, 0.1512977033853531, 0.09423672407865524, 0.31640639901161194, 0.2678415775299072, 0.1485520899295807]",5
234,234,5,1,"[0.03841197490692139, 0.17822255194187164, 0.1289529800415039, 0.21196840703487396, 0.17964603006839752, 0.2627980411052704]","[0.06924529373645782, 0.23928673565387726, 0.1954214870929718, 0.22704926133155823, 0.14224113523960114, 0.12675616145133972]",2
235,235,5,4,"[0.01241696160286665, 0.12207207828760147, 0.07231909036636353, 0.20400787889957428, 0.25705838203430176, 0.33212557435035706]","[0.0017561211716383696, 0.054184455424547195, 0.045329365879297256, 0.19071267545223236, 0.40047183632850647, 0.3075454831123352]",5
236,236,4,3,"[0.004751416388899088, 0.03497384488582611, 0.04445703700184822, 0.2658160328865051, 0.41866058111190796, 0.23134100437164307]","[0.015993531793355942, 0.114800363779068, 0.127364382147789, 0.37572941184043884, 0.270807147026062, 0.09530515223741531]",4
237,237,4,3,"[0.023117199540138245, 0.06284860521554947, 0.10948013514280319, 0.2817448377609253, 0.293927937746048, 0.22888138890266418]","[0.03839866444468498, 0.15738484263420105, 0.2291235625743866, 0.2636563181877136, 0.19775056838989258, 0.11368601769208908]",3
238,238,5,3,"[0.0064028967171907425, 0.08023224025964737, 0.07044824212789536, 0.20913566648960114, 0.2556086480617523, 0.3781723380088806]","[0.03345475718379021, 0.2409949153661728, 0.23430953919887543, 0.26332205533981323, 0.14826294779777527, 0.07965576648712158]",2
239,239,5,5,"[0.011611814610660076, 0.08684432506561279, 0.09139195829629898, 0.27020904421806335, 0.25655683875083923, 0.2833859622478485]","[0.0021190904080867767, 0.05688931420445442, 0.019146908074617386, 0.10355611145496368, 0.35800954699516296, 0.46027904748916626]",4
240,240,5,1,"[0.02747083641588688, 0.13103963434696198, 0.11750427633523941, 0.22806642949581146, 0.2105126678943634, 0.2854061722755432]","[0.11097206920385361, 0.25031691789627075, 0.19319111108779907, 0.1974664181470871, 0.14094974100589752, 0.10710377991199493]",3
241,241,3,3,"[0.091799296438694, 0.1581217348575592, 0.11482837051153183, 0.2597101330757141, 0.16783663630485535, 0.2077038586139679]","[0.068385548889637, 0.18063285946846008, 0.18934014439582825, 0.2975999414920807, 0.17630073428153992, 0.08774077147245407]",2
242,242,1,1,"[0.13521215319633484, 0.41464105248451233, 0.15595537424087524, 0.1406082659959793, 0.10666254907846451, 0.04692064970731735]","[0.14559927582740784, 0.32706403732299805, 0.2516154944896698, 0.18782077729701996, 0.07995803654193878, 0.007942401804029942]",3
243,243,5,1,"[0.009054992347955704, 0.21919459104537964, 0.09200406819581985, 0.18754510581493378, 0.12107224017381668, 0.37112900614738464]","[0.12751534581184387, 0.4003489017486572, 0.2095784991979599, 0.14891237020492554, 0.0549272820353508, 0.058717597275972366]",1
244,244,5,5,"[0.005808057729154825, 0.08860690146684647, 0.050914131104946136, 0.23294949531555176, 0.26146697998046875, 0.3602544963359833]","[0.016553882509469986, 0.21899524331092834, 0.11346972733736038, 0.21948720514774323, 0.2057921290397644, 0.22570188343524933]",2
245,245,5,3,"[0.02154301293194294, 0.13417670130729675, 0.11306169629096985, 0.2224913388490677, 0.18944522738456726, 0.31928208470344543]","[0.05056075006723404, 0.22424329817295074, 0.15678024291992188, 0.24251799285411835, 0.18450060486793518, 0.14139710366725922]",4
246,246,5,3,"[0.02112453430891037, 0.13564302027225494, 0.08904217928647995, 0.21357481181621552, 0.2240048199892044, 0.31661075353622437]","[0.019418422132730484, 0.14233937859535217, 0.11458496749401093, 0.28254958987236023, 0.2659497559070587, 0.17515788972377777]",4
247,247,5,3,"[0.04027466103434563, 0.15304350852966309, 0.08006607741117477, 0.22041930258274078, 0.1883561909198761, 0.31784024834632874]","[0.07019957154989243, 0.22124524414539337, 0.20312494039535522, 0.3100784122943878, 0.13520729541778564, 0.060144487768411636]",1
248,248,5,4,"[0.015608152374625206, 0.15413077175617218, 0.08051976561546326, 0.18738605082035065, 0.2561621367931366, 0.30619317293167114]","[0.01175958476960659, 0.16808149218559265, 0.10027948766946793, 0.23786550760269165, 0.28984493017196655, 0.19216899573802948]",4
249,249,1,0,"[0.17833085358142853, 0.3315626084804535, 0.24138495326042175, 0.14683987200260162, 0.048446815460920334, 0.05343488231301308]","[0.41829827427864075, 0.2769896686077118, 0.17989163100719452, 0.0899164006114006, 0.02557332068681717, 0.009330693632364273]",3
250,250,4,4,"[0.007241120096296072, 0.052844900637865067, 0.06670646369457245, 0.24171854555606842, 0.3380666673183441, 0.29342231154441833]","[0.003914882428944111, 0.08644337952136993, 0.08185932785272598, 0.28911980986595154, 0.3492014408111572, 0.1894611269235611]",3
251,251,1,2,"[0.057982269674539566, 0.26539212465286255, 0.2187005579471588, 0.15073144435882568, 0.11680599302053452, 0.19038762152194977]","[0.06229126825928688, 0.19203385710716248, 0.27688300609588623, 0.23589590191841125, 0.16298024356365204, 0.0699157640337944]",3
252,252,5,1,"[0.040658071637153625, 0.20291449129581451, 0.12541447579860687, 0.2397783249616623, 0.1298372894525528, 0.2613973617553711]","[0.07953687757253647, 0.28457942605018616, 0.2229776382446289, 0.28409361839294434, 0.09120847284793854, 0.03760397061705589]",2
253,253,4,3,"[0.0052617937326431274, 0.061098840087652206, 0.046508945524692535, 0.2596500515937805, 0.3365422487258911, 0.2909380793571472]","[0.0031382511369884014, 0.0896117314696312, 0.08554821461439133, 0.3573722243309021, 0.31683745980262756, 0.14749214053153992]",3
254,254,5,3,"[0.025066643953323364, 0.11533528566360474, 0.08411616832017899, 0.2284959852695465, 0.22751571238040924, 0.31947025656700134]","[0.02774369716644287, 0.14671774208545685, 0.132942333817482, 0.26465365290641785, 0.240794375538826, 0.18714821338653564]",4
255,255,5,5,"[0.03888021782040596, 0.1415387988090515, 0.09518151730298996, 0.25228214263916016, 0.21289658546447754, 0.25922074913978577]","[0.012878076173365116, 0.10087768733501434, 0.05242594704031944, 0.18995366990566254, 0.3046584129333496, 0.33920618891716003]",5
256,256,1,1,"[0.017198434099555016, 0.3377213776111603, 0.115865558385849, 0.17310690879821777, 0.09481498599052429, 0.2612927556037903]","[0.04253343492746353, 0.3684888780117035, 0.21389679610729218, 0.20198695361614227, 0.08301570266485214, 0.09007827937602997]",4
257,257,5,4,"[0.07218407094478607, 0.1793544590473175, 0.10579557716846466, 0.21253716945648193, 0.16946783661842346, 0.2606608271598816]","[0.06061477214097977, 0.15035593509674072, 0.10846853256225586, 0.22874173521995544, 0.2325993776321411, 0.2192196398973465]",2
258,258,5,1,"[0.031707048416137695, 0.14314411580562592, 0.09318455308675766, 0.19076956808567047, 0.20304015278816223, 0.3381545841693878]","[0.03435856103897095, 0.25541937351226807, 0.10554545372724533, 0.2243986576795578, 0.20038467645645142, 0.17989328503608704]",1
259,259,5,4,"[0.01817481406033039, 0.18458761274814606, 0.08312290906906128, 0.172156423330307, 0.21670913696289062, 0.3252490162849426]","[0.020811503753066063, 0.15712541341781616, 0.14738187193870544, 0.24932925403118134, 0.2604324519634247, 0.16491946578025818]",4
260,260,5,4,"[0.0145481638610363, 0.09620944410562515, 0.09159967303276062, 0.24834443628787994, 0.2523215115070343, 0.29697680473327637]","[0.008421817794442177, 0.12665940821170807, 0.06651484966278076, 0.2325471043586731, 0.3224647343158722, 0.24339212477207184]",5
261,261,5,1,"[0.016199788078665733, 0.22530779242515564, 0.11661254614591599, 0.1863408237695694, 0.0973765030503273, 0.3581625521183014]","[0.0659511536359787, 0.23923486471176147, 0.23056747019290924, 0.19768603146076202, 0.11318112164735794, 0.1533794403076172]",1
262,262,5,1,"[0.03366114944219589, 0.14090321958065033, 0.09017682820558548, 0.2414451688528061, 0.22332431375980377, 0.27048933506011963]","[0.0864562913775444, 0.2212764024734497, 0.17205163836479187, 0.183455228805542, 0.15876524150371552, 0.17799529433250427]",1
263,263,5,1,"[0.03163386881351471, 0.15191997587680817, 0.11301570385694504, 0.23883001506328583, 0.1998216211795807, 0.2647787928581238]","[0.05779159069061279, 0.2377341091632843, 0.12949208915233612, 0.21607427299022675, 0.2164887636899948, 0.14241912961006165]",4
264,264,5,1,"[0.019929438829421997, 0.14761196076869965, 0.10630738735198975, 0.22157450020313263, 0.20963770151138306, 0.2949390411376953]","[0.21487438678741455, 0.3222176134586334, 0.1910644918680191, 0.14555999636650085, 0.07366956770420074, 0.05261387303471565]",2
265,265,5,0,"[0.05300499126315117, 0.23050755262374878, 0.15480351448059082, 0.18902722001075745, 0.12502369284629822, 0.24763312935829163]","[0.4486890137195587, 0.29050904512405396, 0.15804417431354523, 0.07772545516490936, 0.017331890761852264, 0.007700436282902956]",1
266,266,3,3,"[0.04260164499282837, 0.15964703261852264, 0.2028990089893341, 0.23695583641529083, 0.1633579581975937, 0.19453854858875275]","[0.048278819769620895, 0.15173213183879852, 0.20070211589336395, 0.2583826780319214, 0.20991338789463043, 0.1309908777475357]",5
267,267,5,1,"[0.037036605179309845, 0.22671955823898315, 0.1067897379398346, 0.19050754606723785, 0.1978655606508255, 0.24108102917671204]","[0.08260923624038696, 0.3579865097999573, 0.17438526451587677, 0.19538217782974243, 0.1176501139998436, 0.07198671251535416]",5
268,268,5,4,"[0.01972232386469841, 0.13029994070529938, 0.10492315888404846, 0.22637996077537537, 0.21056431531906128, 0.3081102669239044]","[0.008038603700697422, 0.09048809856176376, 0.06508246809244156, 0.1911773830652237, 0.3226996958255768, 0.3225136995315552]",5
269,269,5,3,"[0.020527346059679985, 0.13784830272197723, 0.09089147299528122, 0.2123490869998932, 0.21800370514392853, 0.32038015127182007]","[0.0327276811003685, 0.14298148453235626, 0.13161714375019073, 0.24713829159736633, 0.24432620406150818, 0.20120926201343536]",4
270,270,5,0,"[0.03959501162171364, 0.19731789827346802, 0.12831604480743408, 0.17863458395004272, 0.16406086087226868, 0.29207557439804077]","[0.4277726411819458, 0.21158961951732635, 0.22565442323684692, 0.09347140043973923, 0.03032274916768074, 0.011189150623977184]",0
271,271,5,5,"[0.03278300538659096, 0.23765388131141663, 0.09400869160890579, 0.17903907597064972, 0.15408223867416382, 0.3024331033229828]","[0.03686869889497757, 0.23333731293678284, 0.12509191036224365, 0.190445676445961, 0.17695973813533783, 0.2372966706752777]",5
272,272,5,3,"[0.025463521480560303, 0.1573595255613327, 0.09982047975063324, 0.2068042904138565, 0.18628501892089844, 0.3242671489715576]","[0.027616238221526146, 0.1497570276260376, 0.1545107513666153, 0.2912421226501465, 0.23938825726509094, 0.1374855786561966]",5
273,273,5,3,"[0.016002334654331207, 0.10194713622331619, 0.08961102366447449, 0.22304314374923706, 0.26803070306777954, 0.3013656735420227]","[0.0432271771132946, 0.1787855476140976, 0.1374548077583313, 0.2510196566581726, 0.24042777717113495, 0.14908502995967865]",4
274,274,5,1,"[0.033135950565338135, 0.17764624953269958, 0.1043631061911583, 0.18371862173080444, 0.17486439645290375, 0.32627174258232117]","[0.06796487420797348, 0.23741506040096283, 0.22252397239208221, 0.22164444625377655, 0.14478442072868347, 0.10566718131303787]",1
275,275,5,4,"[0.02129216119647026, 0.13672414422035217, 0.09175863862037659, 0.2116689234972, 0.2109813690185547, 0.3275746703147888]","[0.007523533422499895, 0.09137153625488281, 0.07017279416322708, 0.2342127412557602, 0.3235682547092438, 0.273151159286499]",4
276,276,5,1,"[0.041106466203927994, 0.17924481630325317, 0.11161332577466965, 0.18965663015842438, 0.18568138778209686, 0.2926974296569824]","[0.3085562288761139, 0.34750398993492126, 0.1708182543516159, 0.11229703575372696, 0.03885486721992493, 0.0219696294516325]",0
277,277,5,3,"[0.021705619990825653, 0.18686731159687042, 0.0831948071718216, 0.19309833645820618, 0.21815335750579834, 0.2969805896282196]","[0.014329485595226288, 0.15358102321624756, 0.14550648629665375, 0.2548835873603821, 0.2509171962738037, 0.18078218400478363]",3
278,278,2,1,"[0.059518102556467056, 0.22437317669391632, 0.3090762197971344, 0.16158266365528107, 0.07244105637073517, 0.1730087250471115]","[0.1625915914773941, 0.28473713994026184, 0.27165067195892334, 0.14940766990184784, 0.060191817581653595, 0.07142110913991928]",3
279,279,5,4,"[0.020558804273605347, 0.21426987648010254, 0.09473732113838196, 0.1722567230463028, 0.19654904305934906, 0.3016282320022583]","[0.02150854840874672, 0.19457846879959106, 0.14622510969638824, 0.21369843184947968, 0.22534005343914032, 0.1986493319272995]",1
280,280,3,3,"[0.07737310230731964, 0.11788894981145859, 0.1449543833732605, 0.2889537811279297, 0.1798943281173706, 0.1909354329109192]","[0.04478789493441582, 0.14689698815345764, 0.09583431482315063, 0.2443971335887909, 0.23444682359695435, 0.23363687098026276]",4
281,281,5,3,"[0.052130769938230515, 0.15356312692165375, 0.10490971803665161, 0.2023516744375229, 0.16502486169338226, 0.3220198452472687]","[0.06451883912086487, 0.20012927055358887, 0.16314783692359924, 0.2087361365556717, 0.15658842027187347, 0.20687954127788544]",0
282,282,5,1,"[0.03437192365527153, 0.147948756814003, 0.07298970967531204, 0.21929123997688293, 0.20673581957817078, 0.31866255402565]","[0.13306348025798798, 0.3101513981819153, 0.17859818041324615, 0.18576186895370483, 0.10647156089544296, 0.08595351874828339]",3
283,283,5,4,"[0.022623959928750992, 0.11575881391763687, 0.08979247510433197, 0.2172580063343048, 0.23804861307144165, 0.316518098115921]","[0.004996471107006073, 0.07937251031398773, 0.05204145610332489, 0.16216759383678436, 0.3765851855278015, 0.32483673095703125]",1
284,284,5,4,"[0.017080584540963173, 0.17467524111270905, 0.08457743376493454, 0.1980440765619278, 0.2268296182155609, 0.2987930476665497]","[0.00660717161372304, 0.1268181949853897, 0.0782836452126503, 0.24342748522758484, 0.3153965175151825, 0.2294669896364212]",2
285,285,5,2,"[0.04582792893052101, 0.16635140776634216, 0.09974388778209686, 0.17368115484714508, 0.17749492824077606, 0.3369007408618927]","[0.12818817794322968, 0.21715031564235687, 0.23042431473731995, 0.18289390206336975, 0.12083998322486877, 0.12050335854291916]",1
286,286,5,5,"[0.08420031517744064, 0.19120573997497559, 0.14670829474925995, 0.21320250630378723, 0.15081942081451416, 0.21386373043060303]","[0.05352533981204033, 0.16209450364112854, 0.1193646714091301, 0.17426064610481262, 0.2178744673728943, 0.27288031578063965]",2
287,287,5,5,"[0.0074370549991726875, 0.06905177980661392, 0.08661489933729172, 0.22325538098812103, 0.27997469902038574, 0.3336661756038666]","[0.010593282990157604, 0.14955270290374756, 0.08376602828502655, 0.18462593853473663, 0.2788326144218445, 0.2926294505596161]",4
288,288,5,1,"[0.015139681287109852, 0.25557681918144226, 0.10947151482105255, 0.17462876439094543, 0.0998934656381607, 0.3452897369861603]","[0.04646352306008339, 0.28603774309158325, 0.23061519861221313, 0.23153245449066162, 0.10402615368366241, 0.1013248935341835]",2
289,289,3,3,"[0.007443569600582123, 0.06304200738668442, 0.06787662208080292, 0.33690980076789856, 0.2611668109893799, 0.2635611295700073]","[0.027968425303697586, 0.15237466990947723, 0.12380322068929672, 0.2509309947490692, 0.23464557528495789, 0.21027712523937225]",3
290,290,5,3,"[0.005593038164079189, 0.08388513326644897, 0.0463891439139843, 0.23217859864234924, 0.29408854246139526, 0.3378654718399048]","[0.009042446501553059, 0.22560957074165344, 0.1186775416135788, 0.3160986006259918, 0.20870575308799744, 0.12186609953641891]",3
291,291,5,5,"[0.006723218131810427, 0.06953146308660507, 0.054868441075086594, 0.2191627323627472, 0.2787077724933624, 0.3710062801837921]","[0.005569597706198692, 0.14566251635551453, 0.09149911254644394, 0.22743134200572968, 0.2290145754814148, 0.300822913646698]",1
292,292,5,4,"[0.014255296438932419, 0.12487971037626266, 0.07553689181804657, 0.18593764305114746, 0.2811465263366699, 0.31824395060539246]","[0.014500893652439117, 0.14278750121593475, 0.08327896147966385, 0.2077062427997589, 0.3045160472393036, 0.247210294008255]",4
293,293,1,1,"[0.068085215985775, 0.26388275623321533, 0.13213001191616058, 0.17762194573879242, 0.1307276487350464, 0.2275523990392685]","[0.1115615963935852, 0.2903668284416199, 0.2563247084617615, 0.22202883660793304, 0.08743260055780411, 0.03228546306490898]",1
294,294,0,0,"[0.5085365176200867, 0.28282424807548523, 0.06888756155967712, 0.0696599930524826, 0.04287708178162575, 0.02721458487212658]","[0.5539705157279968, 0.2817454934120178, 0.08052770793437958, 0.053491149097681046, 0.024705220013856888, 0.005559870041906834]",1
295,295,5,1,"[0.015420038253068924, 0.2607870399951935, 0.13161180913448334, 0.2027631253004074, 0.11675455421209335, 0.2726634442806244]","[0.028318757191300392, 0.35777953267097473, 0.1932578831911087, 0.22958774864673615, 0.10224279016256332, 0.08881331235170364]",3
296,296,5,1,"[0.009991335682570934, 0.1995847076177597, 0.10157510638237, 0.20593313872814178, 0.1317087858915329, 0.35120683908462524]","[0.07695173472166061, 0.3159659206867218, 0.12817811965942383, 0.14829473197460175, 0.1177549958229065, 0.2128545045852661]",0
297,297,5,1,"[0.01907234825193882, 0.17146044969558716, 0.0834304690361023, 0.19589433073997498, 0.19493742287158966, 0.33520498871803284]","[0.04756354168057442, 0.2839246690273285, 0.19149690866470337, 0.25245001912117004, 0.14600032567977905, 0.07856447994709015]",5
